Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),6/133,1.550333410961637e-05,0.0101420242344792,0,0,12.636518408171952,139.94256019641367,TMEM100;CDH5;CLDN5;COL3A1;COL1A2;LPXN
GO_Biological_Process_2021,transforming growth factor beta receptor signaling pathway (GO:0007179),5/89,2.879450600462394e-05,0.0101420242344792,0,0,15.742857142857142,164.59670285612518,CDH5;CLDN5;COL3A1;COL1A2;LPXN
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),6/158,4.100548881864944e-05,0.0101420242344792,0,0,10.544807965860596,106.52158989608265,BTNL9;ITK;THEMIS;CD28;CD247;HLA-DQB1
GO_Biological_Process_2021,cellular response to transforming growth factor beta stimulus (GO:0071560),5/114,9.420968276999712e-05,0.0146024147864388,0,0,12.116819571865443,112.32276708780395,CDH5;CLDN5;COL3A1;COL1A2;LPXN
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),6/185,9.839902147195969e-05,0.0146024147864388,0,0,8.942020232523026,82.50336813757437,BTNL9;ITK;THEMIS;CD28;CD247;HLA-DQB1
GO_Biological_Process_2021,positive regulation of interleukin-2 production (GO:0032743),3/26,0.00014993537370933273,0.0185420078820541,0,0,33.7046866177301,296.7800859984811,CD86;CLEC7A;CD28
GO_Biological_Process_2021,amylin receptor signaling pathway (GO:0097647),2/6,0.00023454944800385772,0.0193372989354291,0,0,127.66666666666669,1067.018100165012,RAMP2;RAMP3
GO_Biological_Process_2021,positive regulation of endothelial cell development (GO:1901552),2/6,0.00023454944800385772,0.0193372989354291,0,0,127.66666666666669,1067.018100165012,CDH5;CLDN5
GO_Biological_Process_2021,positive regulation of establishment of endothelial barrier (GO:1903142),2/6,0.00023454944800385772,0.0193372989354291,0,0,127.66666666666669,1067.018100165012,CDH5;CLDN5
GO_Biological_Process_2021,skin development (GO:0043588),4/80,0.00029799538362148333,0.0202514805304864,0,0,13.742382271468143,111.56660372288415,COL1A1;COL3A1;COL1A2;GATA6
GO_Biological_Process_2021,calcitonin family receptor signaling pathway (GO:0097646),2/7,0.00032751720534479503,0.0202514805304864,0,0,102.12820512820512,819.4736509227971,RAMP2;RAMP3
GO_Biological_Process_2021,skin morphogenesis (GO:0043589),2/7,0.00032751720534479503,0.0202514805304864,0,0,102.12820512820512,819.4736509227971,COL1A1;COL1A2
GO_Biological_Process_2021,positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145),2/8,0.0004355566536619128,0.0221459463552902,0,0,85.1025641025641,658.5990147800662,FOXA1;LMO3
GO_Biological_Process_2021,vascular associated smooth muscle cell differentiation (GO:0035886),2/8,0.0004355566536619128,0.0221459463552902,0,0,85.1025641025641,658.5990147800662,RAMP2;GATA6
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),4/89,0.0004476943333279696,0.0221459463552902,0,0,12.281733746130032,94.70935976881168,COL1A1;COL3A1;COL1A2;LUM
GO_Biological_Process_2021,T cell activation (GO:0042110),4/92,0.0005077109352048693,0.0235450946201258,0,0,11.861244019138756,89.97463243815889,CD2;ITK;CLEC7A;CD28
GO_Biological_Process_2021,regulation of immune response (GO:0050776),5/179,0.0007590258433096236,0.0331292456315141,0,0,7.56551724137931,54.3467019378982,COL1A1;COL3A1;COL1A2;CD247;KLRC1
GO_Biological_Process_2021,columnar/cuboidal epithelial cell differentiation (GO:0002065),2/11,0.0008489183706752518,0.034994301724502,0,0,56.72649572649573,401.1441103936546,GATA6;ROS1
GO_Biological_Process_2021,regulation of interleukin-2 production (GO:0032663),3/48,0.0009362548486178128,0.0365632156670745,0,0,17.207792207792206,120.00065284164236,CD86;CLEC7A;CD28
GO_Biological_Process_2021,negative regulation of vascular permeability (GO:0043116),2/12,0.0010160612330945,0.0376958717478072,0,0,51.05128205128205,351.8363315571943,CLDN5;RAMP2
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),7/408,0.0012341873218433,0.0421594335458671,0,0,4.667543470091894,31.260137553891592,COL1A1;CDH5;CLDN5;GRB7;CLEC7A;FAM107A;LDB2
GO_Biological_Process_2021,bicellular tight junction assembly (GO:0070830),3/53,0.0012500101590418,0.0421594335458671,0,0,15.483116883116883,103.49849886334144,CDH5;CLDN5;RAMP2
GO_Biological_Process_2021,regulation of angiogenesis (GO:0045765),5/203,0.0013307068156158,0.0429297590081294,0,0,6.64040404040404,43.97305462341776,CDH5;CLDN5;RAMP2;GATA6;THBS2
GO_Biological_Process_2021,tight junction assembly (GO:0120192),3/56,0.0014664633244668,0.0453381577814346,0,0,14.604508698848322,95.29298332638646,CDH5;CLDN5;RAMP2
GO_Biological_Process_2021,circulatory system development (GO:0072359),4/126,0.0016414521757965,0.0487183005776411,0,0,8.540983606557377,54.76627263973053,CDH5;COL3A1;RAMP2;FLRT3
GO_Biological_Process_2021,apical junction assembly (GO:0043297),3/60,0.0017896889102213,0.0510749681301642,0,0,13.576896787423102,85.88355885377904,CDH5;CLDN5;RAMP2
GO_Biological_Process_2021,positive regulation of cell motility (GO:2000147),5/221,0.0019325692223934,0.0531098652968856,0,0,6.0814814814814815,38.00259978172589,COL1A1;CDH5;GRB7;CLEC7A;FAM107A
GO_Biological_Process_2021,regulation of establishment of endothelial barrier (GO:1903140),2/17,0.0020667247756085,0.0547682065536252,0,0,34.02564102564103,210.33937283796348,CDH5;CLDN5
GO_Biological_Process_2021,positive regulation of interleukin-4 production (GO:0032753),2/18,0.0023190473995785,0.0581837329126435,0,0,31.897435897435894,193.50894574053115,CD86;CD28
GO_Biological_Process_2021,cell-cell junction assembly (GO:0007043),3/66,0.0023524420315085,0.0581837329126435,0,0,12.280148423005564,74.32315860905366,CDH5;CLDN5;RAMP2
GO_Biological_Process_2021,positive regulation of leukocyte activation (GO:0002696),2/19,0.0025851697842551,0.0618772896747524,0,0,30.01960784313725,178.85574560381627,CD2;CLEC7A
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),7/482,0.0031579934181422,0.0732259723831744,0,0,3.925450612833453,22.602031952680143,ITK;CDH5;CLDN5;RAMP2;RAMP3;CLEC7A;CD28
GO_Biological_Process_2021,regulation of interleukin-4 production (GO:0032673),2/23,0.0037854340886344,0.0851149119323264,0,0,24.296703296703296,135.49286712603902,CD86;CD28
GO_Biological_Process_2021,positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),3/81,0.0042019825430666,0.0917020896163361,0,0,9.91108891108891,54.235449153221246,CD2;CD86;CLEC7A
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),6/384,0.0043873766022726,0.0925129790300852,0,0,4.191763191763192,22.75718219669931,CDH5;CLDN5;RAMP2;RAMP3;CLEC7A;CD28
GO_Biological_Process_2021,positive regulation of cell migration (GO:0030335),5/269,0.0044885003303006,0.0925129790300852,0,0,4.963636363636364,26.83459275279925,COL1A1;CDH5;GRB7;CLEC7A;FAM107A
GO_Biological_Process_2021,negative regulation of endothelial cell apoptotic process (GO:2000352),2/27,0.0051976807690521,0.1034415261154299,0,0,20.405128205128204,107.3216442944126,CDH5;RAMP2
GO_Biological_Process_2021,metal ion transport (GO:0030001),3/88,0.0052975444641325,0.1034415261154299,0,0,9.091673032849505,47.6450204871639,RAMP2;RAMP3;SLC8A1
GO_Biological_Process_2021,negative regulation of immune response (GO:0050777),4/178,0.0056721379941204,0.1079160613240347,0,0,5.972776769509982,30.8923312685862,COL3A1;RAMP2;RAMP3;CD247
GO_Biological_Process_2021,cardiac muscle cell action potential (GO:0086001),2/30,0.0063918361606561,0.1129224388382579,0,0,18.216117216117212,92.04118939174062,KCNE1;SLC8A1
GO_Biological_Process_2021,maintenance of blood-brain barrier (GO:0035633),2/30,0.0063918361606561,0.1129224388382579,0,0,18.216117216117212,92.04118939174062,CDH5;CLDN5
GO_Biological_Process_2021,regulation of natural killer cell mediated cytotoxicity (GO:0042269),2/30,0.0063918361606561,0.1129224388382579,0,0,18.216117216117212,92.04118939174062,KLRC2;KLRC1
GO_Biological_Process_2021,positive regulation of Rho protein signal transduction (GO:0035025),2/31,0.0068150327472945,0.1149262340566486,0,0,17.58709106984969,87.7353917884882,P2RY10;COL3A1
GO_Biological_Process_2021,peptide cross-linking (GO:0018149),2/31,0.0068150327472945,0.1149262340566486,0,0,17.58709106984969,87.7353917884882,COL3A1;CD247
GO_Biological_Process_2021,activation of phospholipase C activity (GO:0007202),2/32,0.0072506278547017,0.116955779743232,0,0,17.0,83.75334262468323,CD86;ITK
GO_Biological_Process_2021,positive regulation of interleukin-10 production (GO:0032733),2/32,0.0072506278547017,0.116955779743232,0,0,17.0,83.75334262468323,CLEC7A;CD28
GO_Biological_Process_2021,muscle cell development (GO:0055001),2/33,0.0076985180810772,0.1206086619256493,0,0,16.45078577336642,80.06149029669692,RAMP2;SLC8A1
GO_Biological_Process_2021,cell junction assembly (GO:0034329),3/102,0.0079647229573542,0.1206086619256493,0,0,7.800472255017709,37.69760060855257,CDH5;CLDN5;FLRT3
GO_Biological_Process_2021,positive regulation of vasculature development (GO:1904018),3/102,0.0079647229573542,0.1206086619256493,0,0,7.800472255017709,37.69760060855257,CDH5;RAMP2;GATA6
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036),2/37,0.0096109834370705,0.1426269942061272,0,0,14.567765567765568,67.66506734499274,CDH5;RAMP2
GO_Biological_Process_2021,response to estradiol (GO:0032355),2/38,0.0101188194904488,0.1445446765674531,0,0,14.162393162393162,65.05294579892751,FOXA1;RAMP3
GO_Biological_Process_2021,negative regulation of inflammatory response (GO:0050728),4/212,0.0103668100537142,0.1445446765674531,0,0,4.987854251012146,22.79023388566665,CDH5;RAMP2;RAMP3;CD247
GO_Biological_Process_2021,endothelial cell migration (GO:0043542),2/39,0.0106383429632722,0.1445446765674531,0,0,13.77893277893278,62.60169499723587,CDH5;LPXN
GO_Biological_Process_2021,calcium ion transport (GO:0006816),3/115,0.0110377308409786,0.1445446765674531,0,0,6.890538033395177,31.05176726824088,RAMP2;RAMP3;SLC8A1
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),4/216,0.0110449696758497,0.1445446765674531,0,0,4.892750744786494,22.045659368837278,COL1A1;COL3A1;COL1A2;LUM
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),5/335,0.0110559895652957,0.1445446765674531,0,0,3.9575757575757575,17.828019818863833,CD2;CD86;ITK;CLEC7A;CD28
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),4/217,0.0112188784684374,0.1445446765674531,0,0,4.869532987398073,21.86496929612685,COL1A1;COL3A1;COL1A2;LUM
GO_Biological_Process_2021,positive regulation of angiogenesis (GO:0045766),3/116,0.0112986404864046,0.1445446765674531,0,0,6.829215032754856,30.615868646569574,CDH5;RAMP2;GATA6
GO_Biological_Process_2021,positive regulation of phospholipase C activity (GO:0010863),2/43,0.0128313360349035,0.1613703616592953,0,0,12.432145090681676,54.15274532872144,CD86;ITK
GO_Biological_Process_2021,regulation of endothelial cell apoptotic process (GO:2000351),2/44,0.0134078204637278,0.1635900311273657,0,0,12.135531135531137,52.327404531150144,CDH5;RAMP2
GO_Biological_Process_2021,regulation of ERK1 and ERK2 cascade (GO:0070372),4/238,0.0152870287105079,0.1635900311273657,0,0,4.427800269905533,18.511528665486548,RAMP3;LMO3;TIMP3;ROS1
GO_Biological_Process_2021,regulation of interleukin-10 production (GO:0032653),2/48,0.0158238144083772,0.1635900311273657,0,0,11.07803790412486,45.93219537898117,CLEC7A;CD28
GO_Biological_Process_2021,adherens junction organization (GO:0034332),2/49,0.016454852707331,0.1635900311273657,0,0,10.841789416257502,44.5286911247554,CDH5;RAMP2
GO_Biological_Process_2021,receptor internalization (GO:0031623),2/49,0.016454852707331,0.1635900311273657,0,0,10.841789416257502,44.5286911247554,RAMP2;RAMP3
GO_Biological_Process_2021,cellular defense response (GO:0006968),2/49,0.016454852707331,0.1635900311273657,0,0,10.841789416257502,44.5286911247554,ITK;KLRC2
GO_Biological_Process_2021,negative regulation of ERK1 and ERK2 cascade (GO:0070373),2/50,0.0170965192165363,0.1635900311273657,0,0,10.615384615384617,43.19273030214829,LMO3;TIMP3
GO_Biological_Process_2021,negative regulation of inflammatory response to antigenic stimulus (GO:0002862),3/136,0.0172713099107518,0.1635900311273657,0,0,5.796406600917879,23.525924977010995,RAMP2;RAMP3;CD247
GO_Biological_Process_2021,organic substance transport (GO:0071702),3/136,0.0172713099107518,0.1635900311273657,0,0,5.796406600917879,23.525924977010995,RAMP2;RAMP3;SLCO2A1
GO_Biological_Process_2021,regulation of inflammatory response to antigenic stimulus (GO:0002861),3/137,0.0176080980172175,0.1635900311273657,0,0,5.752859081217291,23.23807807911145,RAMP2;RAMP3;CD247
GO_Biological_Process_2021,negative regulation of cellular biosynthetic process (GO:0031327),2/52,0.0184113659012513,0.1635900311273657,0,0,10.189743589743587,40.7058561737784,FCN3;ACADL
GO_Biological_Process_2021,nitrogen compound transport (GO:0071705),3/143,0.0197058747884606,0.1635900311273657,0,0,5.504638218923933,21.61582514948024,RAMP2;RAMP3;SLC6A14
GO_Biological_Process_2021,activation of protein kinase C activity (GO:1990051),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CD86
GO_Biological_Process_2021,positive regulation of bicellular tight junction assembly (GO:1903348),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CLDN5
GO_Biological_Process_2021,alpha-beta T cell differentiation (GO:0046632),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,ITK
GO_Biological_Process_2021,regulation of cell maturation (GO:1903429),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CLEC7A
GO_Biological_Process_2021,hematopoietic stem cell migration (GO:0035701),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,BCL11B
GO_Biological_Process_2021,negative regulation of metallopeptidase activity (GO:1905049),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,TIMP3
GO_Biological_Process_2021,response to salt stress (GO:0009651),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,KMO
GO_Biological_Process_2021,positive regulation of leukocyte mediated immunity (GO:0002705),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CLEC7A
GO_Biological_Process_2021,regulation of dendritic cell cytokine production (GO:0002730),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CLEC7A
GO_Biological_Process_2021,positive regulation of myoblast proliferation (GO:2000288),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,GATA6
GO_Biological_Process_2021,positive regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035360),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,LMO3
GO_Biological_Process_2021,negative regulation of transforming growth factor beta1 production (GO:0032911),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,GATA6
GO_Biological_Process_2021,long-chain fatty acid catabolic process (GO:0042758),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,ACADL
GO_Biological_Process_2021,tight junction organization (GO:0120193),1/5,0.0198424566057451,0.1635900311273657,0,0,63.0253164556962,247.054914696706,CLDN5
