CellType_Category,Gene,LogFC,P-value,Adjusted P-value
Lymphoid,PALMD,-26.07212,3.465933618793096e-05,0.00028913075988632505
Lymphoid,CYP4X1,-25.870918,0.00012828188161482195,0.0010015384706001155
Lymphoid,LRRC71,-25.8556,0.00013474126897570994,0.001049086906647774
Lymphoid,CLDN16,-25.72285,0.001005545042583654,0.006978895160412895
Lymphoid,ITK,7.879916,0.0,0.0
Lymphoid,KLRC2,7.761363,6.762804376821561e-05,0.0005464079320984638
Lymphoid,ENSG00000238246,-7.472527,0.0013788213737460637,0.009354830100278084
Lymphoid,ENSG00000241490,7.2198825,1.4984263025813005e-06,1.4428488011392744e-05
Lymphoid,SPATA18,-7.1610937,5.2243963292720755e-09,6.099851183900576e-08
Lymphoid,LINC00861,7.1524243,1.8528079544085254e-31,5.2549233187309796e-30
Lymphoid,THEMIS,7.087441,7.304660223651677e-161,1.0414149030562664e-158
Lymphoid,KLRC4-KLRK1,7.0671043,1.7403573116141504e-96,1.4321998355113513e-94
Lymphoid,MIR205HG,-7.066615,4.470572398488506e-05,0.0003691816354179931
Lymphoid,CFAP73,-7.0402923,1.1806056631017044e-08,1.3474393094163175e-07
Lymphoid,CD2,7.0392056,6.69866509903082e-67,3.822633143794991e-65
Lymphoid,ENSG00000269966,-6.9958506,1.3550453232020559e-33,4.087959804490958e-32
Lymphoid,ERICH3,-6.971631,8.053197931628286e-15,1.316807523703301e-13
Lymphoid,KLRC1,6.871683,5.364849887264468e-08,5.80880927087401e-07
Lymphoid,CYP2B7P,-6.8689795,5.823615857475683e-28,1.487412203549871e-26
Lymphoid,BCL11B,6.825914,9.99479630212678e-206,2.0002731303617857e-203
Myeloid,ENSG00000264449,-25.233406,5.075749704370687e-05,0.0003430617700934099
Myeloid,ENSG00000259798,-25.222631,3.9162514160528486e-05,0.0002668509676526548
Myeloid,PACRG-AS3,-24.817413,0.0014056638603148022,0.00818587964993161
Myeloid,RPL19P18,-10.217429,4.505505020770896e-06,3.302281087094597e-05
Myeloid,TFAP2A,-9.470323,1.1886102479870307e-06,9.051103546122035e-06
Myeloid,FAM84A,-8.856131,0.00027554119069708635,0.0017339489041977262
Myeloid,FAM166B,-8.791396,2.5725538044996403e-23,3.547810533102901e-22
Myeloid,ENSG00000238272,-8.372848,1.270826062154619e-15,1.4403821690382107e-14
Myeloid,ENSG00000234459,-8.29068,2.628971300967673e-26,3.8551010876384576e-25
Myeloid,ENSG00000260337,-8.206733,9.528818947134624e-06,6.818776130240972e-05
Myeloid,RNA5SP498,8.094415,4.581104021182655e-06,3.355383199570004e-05
Myeloid,KRT16P1,-8.079729,1.5472652333225347e-05,0.00010894750968958211
Myeloid,IRX2,-7.9609475,7.84022942440995e-19,9.75520431709712e-18
Myeloid,ENSG00000205890,-7.9466443,2.953155353215796e-13,3.0930492972207115e-12
Myeloid,FOXA1,-7.7180786,4.879462332959689e-13,5.067033381958725e-12
Myeloid,ENSG00000249621,-7.674924,8.758171489582204e-05,0.0005783785193770878
Myeloid,TSPAN19,-7.5821056,7.715003752345916e-111,2.944271978111027e-109
Myeloid,ERICH3,-7.5759444,1.804660573916659e-178,1.0714355284807708e-176
Myeloid,IGSF9B,-7.4627743,0.00046385867314606644,0.0028549476637121747
Myeloid,ENSG00000280439,-7.4073153,2.8293802838707843e-06,2.0972147929202537e-05
Epithelial,ENSG00000264449,26.044287,3.5889783519588762e-09,3.011509948913567e-08
Epithelial,ENSG00000259798,26.033361,2.1001372936312425e-09,1.7854936687856523e-08
